####,,
Spec,Value,
Length,171.2,
Width,71.4,
Height,64.1,
Wheelbase,N/A,
Seating,5,
Cargo Capacity,23.5/50.2,
Front Headroom,39.7,
Rear Headroom,38.1,
Front Legroom,40.9,
Rear Legroom,36,
Front Shoulder Room,55.4,
Rear Shoulder Room,53.6,
Curb Weight,3023,
Engine Name,"1.2L inline 3-cylinder, Optional 1.3L Ecotec 3",
Trim,Preferred FWD,
Horsepower,"137@5000, Optional 5600",
Body Style,SUV,
Fuel,Unleaded,
Transmission,Continuously Variable Transmission,
Class,N/A,
Standard MPG,N/A,
Drivetrain,FWD,
Cylinder Configuration,in-line,
Driving Range,290,
Engine Size,N/A,
Ground Clearance,7.5,
GVWR,4211,
Number Of Cylinders,3,
Payload Capacity,1188,
Std Mpg With Units,N/A,
Torque,"162, Optional 174@2500, Optional 1600",
Towing Capacity,1000,
Transmission Type,Automatic,
####,,
features,Availability,MSRP
Electronic parking brake,Standard,0
Automatic trunk/hatch closing,Optional,0
Remote trunk/hatch release,Not Available,0
Cruise control,Standard,0
Adaptive cruise control,"No, Optional Yes",0
Air conditioning,Standard,0
Automatic recirculation,Not Available,0
Climate control type,Semi-auto,0
Air filter / carbon filter,Standard / Not Available,0
Rear climate control,Not Available,0
Neck warmer,Not Available,0
Coming home device,Not Available,0
Garage door opener,Not Available,0
Memorized adjustment,Not Available,0
Smart key,"Teen Driver , Standard",0
External temperature display,Standard,0
Compass display,Standard,0
Trip computer,Standard,0
Wiper de-icer,Not Available,0
Service interval indicator,Not Available,0
Power door locks,Standard,0
Automatic door locking,Yes,0
Power adjustable front seats (driver / passenger),Optional / Not Available,0
Number of front seat power adjustments (driver / passenger),Optional 5 / -,0
Heated front seats (driver / passenger),Optional / Optional,0
Ventilated front seats (driver / passenger),Not Available / Not Available,0
Climate controlled front seats (driver / passenger),Not Available / Not Available,0
Massaging front seats (driver / passenger),Not Available / Not Available,0
Active bolstering front seats (driver / passenger),Not Available / Not Available,0
Front seat height adjustment (driver / passenger),"Manual / -, Optional Electric / -",0
Front seat lumbar adjustment (driver / passenger),Optional Electric / -,0
Front seat reclining adjustment (driver / passenger),"Manual / Manual, Optional Electric / -",0
Front seat sliding adjustment (driver / passenger),"Manual / Manual, Optional Electric / -",0
Front seat tilt adjustment (driver / passenger),Optional Electric / -,0
Power adjustable rear seats,Not Available,0
Number of rear seat power adjustments,0,0
Heated rear seats,Not Available,0
Ventilated rear seats,Not Available,0
Climate controlled rear seats,Not Available,0
Massaging rear seats,Not Available,0
Folding rear seat type,60/40 split,0
Power folding rear seats,Not Available,0
Rear seat ski hatch,Not Available,0
Removable rear seats,Not Available,0
Power adjustable steering wheel,Standard,0
Cargo area light,Standard,0
Steering wheel adjustment (height / telescopic / easy entry),Standard / Standard / Not Available,0
Heated steering wheel,Optional,0
Multi-function steering wheel,Standard,0
Auto-dimming rear view mirror,Not Available,0
Auto-dimming door mirrors (driver / passenger),Not Available / Not Available,0
Power adjustable door mirrors (driver / passenger),Standard / Standard,0
Heated door mirrors (driver / passenger),Standard / Standard,0
Door mirror tilt for reversing (driver / passenger),Not Installed / Not Installed,0
Heated door panels (front / rear),Not Available / Not Available,0
Heated windshield,Not Available,0
Panoramic windshield,Not Available,0
Intermittent windshield wiper type,Variable,0
Rain sensing windshield wipers,Not Available,0
Rear window wiper (constant / intermittent),Not Available / Standard,0
Rear Window Sunshade,Not Available,0
Power windows (front / rear),Standard / Standard,0
One-touch power windows (driver / passenger / rear),Standard / Standard / Standard,0
Power sliding rear window,Not Available,0
Dusk sensing headlights,Standard,0
Automatic high beams,Standard,0
Fragrance diffuser,Not Available,0
Remote connect lock/unlock,Yes,0
Remote connect speed alert,No,0
Remote connect send destination to car,Yes,0
Remote connect location sharing,No,0
Remote connect geo fencing,Yes,0
Remote connect vehicle start,Yes,0
Remote connect theft alert,Yes,0
Remote connect HVAC control,Not Available,0
Remote engine start,Standard,0
power door locks operation,Card Key,0
Headroom (in) (front / rear),39.7 / 38.1,0
Leg room (in) (front / rear),40.9 / 36.0,0
Hip room (in) (front / rear),51.9 / 50.7,0
Shoulder room (in) (front / rear),55.4 / 53.6,0
Overall length (in),171.2,0
Overall width (in),71.4,0
Overall height (in),64.1,0
Wheelbase (in),102,0
Turning circle (ft),36.9,0
Cargo capacity (cuft),23.5,0
Cargo capacity rear seat down (cuft),50.2,0
Ground clearance (in),7.5,0
Curb weight (lbs),3023,0
Gross vehicle weight rating (lbs),4211,0
Payload (lbs),1188,0
Maximum Towing Capacity (lbs),1000,0
