####,,
Spec,Value,
Length,179.8,
Width,72.4,
Height,63.4,
Wheelbase,N/A,
Seating,5,
Cargo Capacity,24.4/55.1,
Front Headroom,39.4,
Rear Headroom,38,
Front Legroom,41.9,
Rear Legroom,37.7,
Front Shoulder Room,56.6,
Rear Shoulder Room,55.2,
Curb Weight,3159,
Engine Name,2.0L inline 4-cylinder,
Trim,LX 2WD,
Horsepower,158@6500,
Body Style,SUV,
Fuel,Unleaded,
Transmission,Continuously Variable Transmission,
Class,N/A,
Standard MPG,N/A,
Drivetrain,FWD,
Cylinder Configuration,in-line,
Driving Range,392,
Engine Size,N/A,
Ground Clearance,7,
GVWR,N/A,
Number Of Cylinders,4,
Payload Capacity,N/A,
Std Mpg With Units,N/A,
Torque,138@4200,
Towing Capacity,N/A,
Transmission Type,Automatic,
####,,
features,Availability,MSRP
Electronic parking brake,Standard,0
Automatic trunk/hatch closing,Not Available,0
Remote trunk/hatch release,Standard,0
Cruise control,Standard,0
Adaptive cruise control,Yes,0
Air conditioning,Standard,0
Automatic recirculation,Not Available,0
Climate control zones,1,0
Climate control type,Auto,0
Air filter / carbon filter,Standard / Not Available,0
Rear climate control,Not Available,0
Neck warmer,Not Available,0
Coming home device,Not Available,0
Garage door opener,Not Available,0
Memorized adjustment,Not Available,0
Smart key,"Standard, Smart Entry & Start System",0
External temperature display,Not Available,0
Compass display,Not Available,0
Trip computer,Standard,0
Wiper de-icer,Not Available,0
Service interval indicator,Not Available,0
Power door locks,Standard,0
Power adjustable front seats (driver / passenger),Not Available / Not Available,0
Heated front seats (driver / passenger),Not Available / Not Available,0
Ventilated front seats (driver / passenger),Not Available / Not Available,0
Climate controlled front seats (driver / passenger),Not Available / Not Available,0
Massaging front seats (driver / passenger),Not Available / Not Available,0
Active bolstering front seats (driver / passenger),Not Available / Not Available,0
Front seat height adjustment (driver / passenger),Manual / -,0
Front seat reclining adjustment (driver / passenger),Manual / Manual,0
Front seat sliding adjustment (driver / passenger),Manual / Manual,0
Power adjustable rear seats,Not Available,0
Number of rear seat power adjustments,0,0
Heated rear seats,Not Available,0
Ventilated rear seats,Not Available,0
Climate controlled rear seats,Not Available,0
Massaging rear seats,Not Available,0
Folding rear seat type,60/40 split,0
Power folding rear seats,Not Available,0
Rear seat ski hatch,Not Available,0
Removable rear seats,Not Available,0
Power adjustable steering wheel,Standard,0
Cargo area light,Standard,0
Steering wheel adjustment (height / telescopic / easy entry),Standard / Standard / Not Available,0
Heated steering wheel,Not Available,0
Multi-function steering wheel,Standard,0
Auto-dimming rear view mirror,Not Available,0
Auto-dimming door mirrors (driver / passenger),Not Available / Not Available,0
Power adjustable door mirrors (driver / passenger),Standard / Standard,0
Heated door mirrors (driver / passenger),Not Available / Not Available,0
Door mirror tilt for reversing (driver / passenger),Not Installed / Not Installed,0
Heated door panels (front / rear),Not Available / Not Available,0
Heated windshield,Not Available,0
Panoramic windshield,Not Available,0
Intermittent windshield wiper type,Variable,0
Rain sensing windshield wipers,Not Available,0
Rear window wiper (constant / intermittent),Not Available / Standard,0
Rear Window Sunshade,Optional,0
Power windows (front / rear),Standard / Standard,0
One-touch power windows (driver / passenger / rear),Standard / Not Available / Not Available,0
Power sliding rear window,Not Available,0
Dusk sensing headlights,Standard,0
Automatic high beams,Standard,0
Fragrance diffuser,Not Available,0
Remote connect HVAC control,Not Available,0
Remote engine start,Not Available,0
power door locks operation,Card Key,0
Headroom (in) (front / rear),39.4 / 38.0,0
Leg room (in) (front / rear),41.9 / 37.7,0
Hip room (in) (front / rear),54.0 / 47.4,0
Shoulder room (in) (front / rear),56.6 / 55.2,0
Overall length (in),179.8,0
Overall width (in),72.4,0
Overall height (in),63.4,0
Wheelbase (in),104.5,0
Turning circle (ft),35.1,0
Cargo capacity (cuft),24.4,0
Cargo capacity rear seat down (cuft),55.1,0
Ground clearance (in),7,0
Curb weight (lbs),3159,0
Engine,2.0L inline 4-cylinder,0
Displacement (cc),1996,0
Valves per cylinder,4,0
Cylinder shutdown,Not Available,0
Compressor,Not Available,0
Horsepower,158,0
RPM for horsepower,6500,0
Torque (ft lbs),138,0
RPM for torque,4200,0
Fuel type,Unleaded,0
Start/stop function,Not Available,0
CO2 Emissions,5.1 tons/year,0
Total number of valves,16,0
Front wheels,"17x7.5\"" Alloy",0
Front tires (standard),215/60/HR17 All Seasons,0
Front tires (optional),215/60/HR17,0
Rear wheels,"17x7.5\"" Alloy",0
Rear tires (standard),215/60/HR17 All Seasons,0
Rear tires (optional),215/60/HR17,0
Spare/Temporary Tire,Standard,0
Disc brakes,4,0
Ceramic brakes,Not Available,0
Regenerative brakes,Not Available,0
Chrome molding,Not Available,0
Mud flaps (front / rear),Optional / Optional,0
Trailer towing prep,Not Available,0
Trailer hitch,Not Available,0
Rear spoiler,Not Available,0
Roof spoiler,Standard,0
Side moulding,Optional,0
Wheel moulding,Optional,0
Front bumper,Painted,0
Rear bumper,Painted,0
Front door type (driver / passenger),Front Hinged / Front Hinged,0
Rear door type (driver / passenger),Front Hinged / Front Hinged,0
Hands free rear doors (rear driver / rear passenger),No / No,0
Cargo door type,Liftgate,0
Headlights,LED,0
Front fog lights,Not Available,0
Puddle Lights,Standard,0
Rear fog lights,Not Available,0
Side mirror indicator lights (driver / passenger),Not Available / Not Available,0
Cornering lights,Not Available,0
Roof rails,Optional,0
Underbody protection,Not Available,0
Privacy glass,Not Available,0
Tank capacity (gal),14,0
City Fuel Economy (MPG),26,0
Highway Fuel Economy (MPG),32,0
Estimated Combined Fuel Economy (mpg),28,0
Estimated Vehicle range (mi),392,0
Plug-in,Not Available,0
