####,,
Spec,Value,
Length,183.5,
Width,73.4,
Height,65.4,
Wheelbase,N/A,
Seating,5,
Cargo Capacity,39.6/74.1,
Front Headroom,39.6,
Rear Headroom,39.4,
Front Legroom,41.4,
Rear Legroom,41.3,
Front Shoulder Room,57.5,
Rear Shoulder Room,55.6,
Curb Weight,3396,
Engine Name,2.5L inline 4-cylinder,
Trim,LX FWD,
Horsepower,187@6100,
Body Style,SUV,
Fuel,Unleaded,
Transmission,Sportmatic® Automatic With Manual Mode,
Class,N/A,
Standard MPG,N/A,
Drivetrain,FWD,
Cylinder Configuration,in-line,
Driving Range,400,
Engine Size,N/A,
Ground Clearance,7.1,
GVWR,4674,
Number Of Cylinders,4,
Payload Capacity,1278,
Std Mpg With Units,N/A,
Torque,178@4000,
Towing Capacity,2500,
Transmission Type,Automatic,
####,,
features,Availability,MSRP
Electronic parking brake,Standard,$0 
Automatic trunk/hatch closing,Not Available,$0 
Remote trunk/hatch release,Standard,$0 
Cruise control,Standard,$0 
Adaptive cruise control,No,$0 
Air conditioning,Standard,$0 
Automatic recirculation,Not Available,$0 
Climate control type,Manual,$0 
Air filter / carbon filter,Standard / Not Available,$0 
Rear climate control,Not Available,$0 
Neck warmer,Not Available,$0 
Coming home device,Optional,$0 
Garage door opener,Optional,$0 
Memorized adjustment,Not Available,$0 
Smart key,Not Available,$0 
External temperature display,Standard,$0 
Compass display,Not Available,$0 
Trip computer,Standard,$0 
Wiper de-icer,Not Available,$0 
Service interval indicator,Not Available,$0 
Power door locks,Standard,$0 
Automatic door locking,Yes,$0 
Power adjustable front seats (driver / passenger),Not Available / Not Available,$0 
Heated front seats (driver / passenger),Not Available / Not Available,$0 
Ventilated front seats (driver / passenger),Not Available / Not Available,$0 
Climate controlled front seats (driver / passenger),Not Available / Not Available,$0 
Massaging front seats (driver / passenger),Not Available / Not Available,$0 
Active bolstering front seats (driver / passenger),Not Available / Not Available,$0 
Front seat height adjustment (driver / passenger),Manual / -,$0 
Front seat reclining adjustment (driver / passenger),Manual / Manual,$0 
Front seat sliding adjustment (driver / passenger),Manual / Manual,$0 
Power adjustable rear seats,Not Available,$0 
Number of rear seat power adjustments,0,$0 
Heated rear seats,Not Available,$0 
Ventilated rear seats,Not Available,$0 
Climate controlled rear seats,Not Available,$0 
Massaging rear seats,Not Available,$0 
Folding rear seat type,60/40 split,$0 
Power folding rear seats,Not Available,$0 
Rear seat ski hatch,Not Available,$0 
Removable rear seats,Not Available,$0 
Rear seat reclining adjustment,Manual,$0 
Power adjustable steering wheel,Standard,$0 
Cargo area light,Standard,$0 
Steering wheel adjustment (height / telescopic / easy entry),Standard / Standard / Not Available,$0 
Heated steering wheel,Not Available,$0 
Multi-function steering wheel,Standard,$0 
Auto-dimming rear view mirror,Optional,$0 
Auto-dimming door mirrors (driver / passenger),Not Available / Not Available,$0 
Power adjustable door mirrors (driver / passenger),Standard / Standard,$0 
Heated door mirrors (driver / passenger),Not Available / Not Available,$0 
Door mirror tilt for reversing (driver / passenger),Not Installed / Not Installed,$0 
Heated door panels (front / rear),Not Available / Not Available,$0 
Heated windshield,Not Available,$0 
Panoramic windshield,Not Available,$0 
Intermittent windshield wiper type,Variable,$0 
Rain sensing windshield wipers,Not Available,$0 
